Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,Location,StartDate,EndDate,Total Deaths,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)"
Natural,Hydrological,Flood,Riverine flood,,,China,"Heilongjiang, Jilin, Liaoning, Inner Mongolia",1994-07-01,1994-08-01,128.0,2000000.0,1000.0,1974.0
Natural,Climatological,Drought,Drought,,,China,"Xuwen, Leizhou, Yangjiang, Maoming, Suixi, Hanwei, Chaozhou, Meizhou, Jieyang (Guangdong province)",1994-01-01,1994-12-01,,82000000.0,13755200.0,27158211.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Hunan, Jiangxi, Guizhou, Hubei, Sichuan, Zhejiang, Fujian, Anhui, Guangdong, Guangxi, Jiangsu provinces",1995-05-01,1995-08-01,1437.0,114470249.0,6720000.0,12905878.0
Natural,Climatological,Drought,Drought,,,China,Nord-East provinces,1995-01-01,1995-08-01,,9060000.0,12800.0,24583.0
Natural,Meteorological,Storm,Tropical cyclone,,Willie,China,"Guangdong, Hainan Isl.",1996-09-01,1996-10-01,38.0,,100000.0,186583.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Anhui, Guizhou, Hebei, Henen, Hubei, Hunan, Zhejiang, Jiangxi, Henen, Shangdong, Shanxi, Fujian, Xinjiang, Guangxi, Yangtze, Shanghai provinces",1996-06-01,1996-07-01,2775.0,154634000.0,12600000.0,23509410.0
Natural,Meteorological,Storm,Tropical cyclone,,Herb,China,"Fujian, Hunan, Jiangsu",1996-07-01,1996-08-01,44.0,10300.0,72000.0,134339.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Guizhou, Guangdong, Cuangxi, Jiangxi, Zheijiang, Jiangsu, Anhui",1997-06-01,1997-08-01,420.0,,1251200.0,2281195.0
Natural,Hydrological,Flood,Riverine flood,,,Canada,Manitoba Province,1997-04-01,1997-05-01,4.0,29000.0,120000.0,218785.0
Natural,Climatological,Drought,Drought,,,China,Shandong,1997-05-01,1997-08-01,,,169100.0,308304.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Hubei, Hunan, Sichuan, Jiangxi, Fujian, Guanxi Provinces",1998-07-01,1998-08-01,3656.0,238973000.0,30000000.0,53860097.0
Natural,Hydrological,Flood,Coastal flood,,,Australia,Towsville Area,1998-01-01,1998-02-01,2.0,200.0,61300.0,110054.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,Narrabri,1998-07-01,1998-09-01,14.0,200.0,100000.0,179534.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,Wollongong (New South Wales),1998-07-01,1998-09-01,1.0,6300.0,122700.0,220288.0
Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,Java Isl.,1994-11-01,1994-12-01,58.0,2722.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,North Aceh Provinces,1995-12-01,1996-01-01,18.0,201472.0,50000.0,96026.0
Natural,Meteorological,Storm,Tropical cyclone,,Opal,Mexico,"Campeche, Tabasco, Quintana Roo, Yucatan, Chiapas states",1995-09-01,1995-10-01,19.0,3000.0,124700.0,239489.0
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Kratie, Phnom Penh, Tatanakiri, Stung Treng, Kampong Cham, Kandal, Prey Veng provinces",1996-09-01,1996-11-01,59.0,1300000.0,1500.0,2799.0
Natural,Climatological,Drought,Drought,,,Indonesia,Irian Jaya Province,1997-09-01,1997-11-01,672.0,1065000.0,88000.0,160442.0
Natural,Biological,Epidemic,Viral disease,,Dengue haemorrhagic fever,Cambodia,Phnom Penh,1997-01-01,1998-01-01,3.0,227.0,,
Natural,Climatological,Wildfire,Forest fire,,,Mexico,"Chipias, Oaxaca, Chimalapas, Puebla, Veracruz",1998-04-01,1998-06-01,50.0,,8000.0,14363.0
Natural,Meteorological,Storm,,,Yanni,Korea (ROK),North Kyongsang Province,1998-09-01,1998-10-01,55.0,2379.0,25900.0,46499.0
Natural,Climatological,Wildfire,Forest fire,,,Indonesia,Kalimatan Province (Borneo Isl.),1998-03-01,1998-04-01,3.0,2000.0,1300000.0,2333938.0
Natural,Hydrological,Flood,Flash flood,,,Korea (ROK),"Kongsang, Cholla, Chiri, Kyonggi Province",1998-07-01,1998-08-01,403.0,121000.0,1480000.0,2657098.0
Natural,Meteorological,Storm,Tropical cyclone,,Mitch,Mexico,,1998-10-01,1998-11-01,9.0,,1000.0,1795.0
Natural,Hydrological,Flood,Riverine flood,,,New Zealand,North Is. and N. South Island,1998-06-01,1998-07-01,,200.0,75000.0,134650.0
Natural,Meteorological,Storm,Tropical cyclone,,Amy,Thailand,"Lampang, Nan, Kanchanaburi, Phrae, Chinag Rai, Mae Hong Son, Tak, Phayao, Chiang Mai",1994-07-01,1994-08-01,9.0,10000.0,8000.0,15795.0
Natural,Meteorological,Storm,Tropical cyclone,,Harry,Thailand,"Chiang Rai, Chiang Mai, Phayao, Phitsanulok, Khanchanburi",1994-08-01,1994-09-01,10.0,,12000.0,23693.0
Natural,Meteorological,Storm,Tropical cyclone,,Erin,USA,"Florida, Alabama, Mississipi",1995-07-01,1995-08-01,11.0,6000.0,700000.0,1344362.0
Natural,Hydrological,Flood,Riverine flood,,,Thailand,"Phayao, Pichit, Pitsanuloke, Nakhon Sawan",1995-08-01,1995-11-01,231.0,4280984.0,140500.0,269833.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Wsahington, Oregon",1995-11-01,1995-12-01,2.0,15000.0,100000.0,192052.0
Natural,Hydrological,Flood,Riverine flood,,,USA,Alaska,1995-09-01,1995-10-01,,300.0,10000.0,19205.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Mississippi, Missouri, Illinois, Kansas, Nebarska, Oklahoma",1995-05-01,1995-06-01,3.0,5000.0,10000.0,19205.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Washington, Oregon, Nevada, Idaho",1996-12-01,1997-01-01,28.0,18100.0,1500000.0,2798739.0
Natural,Meteorological,Storm,Tropical cyclone,,Gloria and Frankie,Thailand,"Chumphon, Chiang Rai, Nan, Nong Khai, Udon Thani, Rayong, Ranong",1996-07-01,1996-08-01,9.0,343386.0,150000.0,279874.0
Natural,Hydrological,Flood,Riverine flood,,,Thailand,,1996-06-01,1996-10-01,91.0,5000000.0,500.0,933.0
Natural,Meteorological,Storm,Tropical cyclone,,Herb,Chinese Taipei,,1996-07-01,1996-08-01,45.0,,1100000.0,2052409.0
Natural,Hydrological,Flood,,,,USA,"Grand Forks, Fargo ",1997-04-01,1997-05-01,3.0,50400.0,5000000.0,9116027.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Nevada, Idaho, California",1997-01-01,1997-02-01,20.0,125000.0,1500000.0,2734808.0
Natural,Meteorological,Storm,Tropical cyclone,,Zita,Thailand,Surat Thani Province,1997-08-01,1997-09-01,46.0,50394.0,39500.0,72017.0
Natural,Meteorological,Storm,Convective storm,Tornado,,USA,"Arkansas, Ohio, Kentucky, Texas, Mississippi, Tennessee,West Virginia",1997-02-01,1997-03-01,70.0,3650.0,500000.0,911603.0
Natural,Hydrological,Flood,Riverine flood,,,USA,Fort Collins (Northern Colorado),1997-07-01,1997-08-01,5.0,424.0,100000.0,182321.0
Natural,Meteorological,Storm,Convective storm,Hail,,USA,"Illinois, Indiana, Wisconsin, Minissotta",1998-03-01,1998-04-01,1.0,138.0,,
Natural,Meteorological,Storm,Convective storm,Hail,,USA,"IA, SD, Minnessota, MI, WI, PA, New York, MA, NH, VT, Ohio, New Jersey",1998-05-01,1998-06-01,18.0,750.0,1000000.0,1795337.0
Natural,Hydrological,Flood,Flash flood,,,USA,"Hansas, IA, MO, Illinois, WI, Mississippi, Indiana, PA, New York, New Jersey, CT, RI, MA, Ohio, West virginia, Minnesota, Idaho, Vermont, ",1998-06-01,1998-07-01,11.0,14000.0,469000.0,842013.0
Natural,Biological,Epidemic,Viral disease,,Encaphalitis,Chinese Taipei,,1998-04-01,1998-07-01,54.0,250000.0,,
Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,Florida,1998-05-01,1998-07-01,1.0,40124.0,276000.0,495513.0
Natural,Meteorological,Storm,,,,USA,"Kansas, Oklahoma",1998-10-01,1998-11-01,1.0,1000.0,2000.0,3591.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Heilongjiang, Inner Mongolia, Liaoning",1998-08-01,1998-09-01,89.0,2160000.0,964000.0,1730704.0
Natural,Hydrological,Flood,Riverine flood,,,Austria,,1999-05-01,1999-06-01,3.0,,32000.0,56221.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Anhui, Zhejiang, Jiangxi, Jiangsu, Hubei, Hunan, Guizhou, Sichuang, Chingquing (municipality) ",1999-06-01,1999-08-01,725.0,101024000.0,8100000.0,14230852.0
Natural,Meteorological,Storm,Tropical cyclone,,Steve,Australia,"Cairns, Tablelands districts (Queensland province), New South Wales province",2000-02-01,2000-03-01,1.0,200.0,90000.0,152955.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Bingara, Yallaroi villages (Gwydir district, New South Wales province), Coonebarabran village (Warrumbungle Shire district, New South Wales province), Berrigan, Corowa Shire, Deniliquin, Murray districts (New South Wales province)",2000-11-01,2000-12-01,,600.0,265000.0,450369.0
Natural,Hydrological,Flood,Flash flood,,,China,"Awu, Jingmu, Hadapu villages (Dangchang Xian area, Longnan district, Gansu Sheng province), Gulin Xian, Xuyong Xian areas (Luzhou district, Sichuan Sheng Province), Duyun Shi area (Qiannan Buyei and Miao district, Guizhou Sheng province)",2000-05-01,2000-06-01,34.0,154183.0,22000.0,37389.0
Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,China,"Xilin Gol, Xing'an, Hulunbuir, Ulaan Chab, Chifeng, Tongliao districts (Nei Mongol Zizhiqu province)",2001-01-01,2001-02-01,49.0,2574871.0,12000.0,19834.0
Natural,Hydrological,Flood,Coastal flood,,,Mexico,"Veracruz, Tabasco, Hidalgo, Michoacan, Jalisco, Oaxaca, Chiapas and Puebla ",1999-09-01,1999-10-01,636.0,616060.0,451300.0,792887.0
Natural,Hydrological,Flood,Coastal flood,,,Cambodia,"Takeo, Kandal, Kampong Speu, Phnom Penh Municipality, Pursat",1999-10-01,1999-11-01,,124475.0,,
Natural,Biological,Epidemic,Bacterial disease,,Cholera,Cambodia,Rottanakiri Province (north eastern),1999-04-01,1999-05-01,56.0,874.0,,
Natural,Hydrological,Flood,Flash flood,,,Korea (ROK),"Hwachon, Paju, Seoul and Yonchon (Kyonggi-do and Kangwon-do provinces)",1999-07-01,1999-08-01,64.0,30208.0,332000.0,583289.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces",2000-11-01,2000-12-01,100.0,386021.0,34000.0,57783.0
Natural,Hydrological,Landslide,Mudslide,,,Indonesia,"Cilacap, Banyumas districts (Jawa Tengah province)",2000-10-01,2000-11-01,40.0,56210.0,43000.0,73079.0
Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Isu,Japan,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",2000-03-01,2000-04-01,,12400.0,,
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",2000-07-01,2000-08-01,347.0,3448053.0,160000.0,271921.0
Natural,Biological,Epidemic,Viral disease,,,Korea (ROK),Kyungbuk province,2000-03-01,2001-01-01,6.0,39531.0,,
Natural,Meteorological,Storm,Tropical cyclone,,Keith,Mexico,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",2000-09-01,2000-10-01,23.0,30000.0,1000.0,1700.0
Natural,Hydrological,Flood,Coastal flood,,,Thailand,"Prachuap Khiri Khan, Phetchaburi, Ratchaburi, Kanchanaburi, Lop Buri, Phitsanulok, Phichit, Nakhon Sawan, Satun, Phuket",1999-10-01,1999-11-01,10.0,170000.0,,
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Chantaburi, Trad, and Ubol Ratchathani Provinces",1999-07-01,1999-08-01,7.0,90700.0,13000.0,22840.0
Natural,Meteorological,Storm,Tropical cyclone,,Dennis,USA,"Bahamas, North Carolina, Virginia",1999-08-01,1999-09-01,3.0,,62500.0,109806.0
Natural,Climatological,Wildfire,Forest fire,,,USA,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",2000-05-01,2000-09-01,,25400.0,1500000.0,2549258.0
Natural,Climatological,Wildfire,Forest fire,,,USA,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",2000-07-01,2000-08-01,14.0,1000.0,1000000.0,1699505.0
Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)",2001-12-01,2002-01-01,,4400.0,90000.0,148752.0
Natural,Hydrological,Flood,Riverine flood,,,Chile,"Metropolitana, Atacama, Coquimbo, Valparaiso, Libertador Gral. Bernardo O'higgins, Maule, Bio Bio, Araucania provinces",2002-05-01,2002-06-01,14.0,221842.0,200000.0,325398.0
Natural,Climatological,Drought,Drought,,,Australia,"Queensland, New South Wales provinces",2002-04-01,2002-11-01,,,2000000.0,3253980.0
Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)",2002-10-01,2002-12-01,2.0,244.0,50000.0,81350.0
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Australia,,2003-02-01,2003-04-01,,6.0,,
Natural,Biological,Epidemic,Viral disease,,West Nile Fever,Canada,"Alberta, Ontario, Quebec",2002-09-01,2002-10-01,2.0,139.0,,
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Canada,"Ontario, British Columbia",2003-02-01,2003-06-01,43.0,208.0,,
Natural,Hydrological,Flood,Riverine flood,,,Chile,"Libertador Gral. Bernardo O'higgins, Maule, Biobio, Los Lagos, Los Rios, Aisen del Gral. Carlos Ibanez del Campo, Magallanes y Antartica chilena, Araucania provinces",2002-10-01,2002-11-01,3.0,800.0,,
Natural,Climatological,Wildfire,Forest fire,,,Australia,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)",2003-01-01,2003-02-01,4.0,2650.0,300000.0,477263.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Nias, Nias Selatan districts (Sumatera Utara province)",2001-07-01,2001-08-01,257.0,3694.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Kota Medan, Langkat, Simalungun, Kota Tebingtinggi, Deli Serdang districts (Sumatera Utara province), Gowa district (Sulawesi Selatan province)",2001-12-01,2002-01-01,15.0,2000.0,,
Natural,Meteorological,Storm,Tropical cyclone,,Toraji,China,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",2001-07-01,2001-08-01,100.0,,40000.0,66112.0
Natural,Meteorological,Storm,Tropical cyclone,,Fitow,China,"Guangdong Sheng, Hainan Sheng, Guangxi Zhuangzu Zizhiqu provinces",2001-08-01,2001-09-01,4.0,,213000.0,352045.0
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Stung Treng, Kratie, Kampong Cham provinces",2001-08-01,2001-11-01,56.0,1669182.0,15000.0,24792.0
Natural,Meteorological,Storm,Tropical cyclone,,Juliette,Mexico,Baja California Sur province,2001-09-01,2001-10-01,3.0,3800.0,400000.0,661118.0
Natural,Meteorological,Storm,Tropical cyclone,,Rusa,Korea (ROK),"Kyongsangbuk-do, Kyongsangnam-do, Chungchongbuk-do, Chungchongnam-do, Kang-won-do, Cheju-do provinces",2002-08-01,2002-09-01,184.0,88625.0,4200000.0,6833359.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Shaoguan Shi area (Shaoguan district, Guangdong Sheng province)",2002-10-01,2002-11-01,,50000.0,,
Natural,Biological,Epidemic,Bacterial disease,,Anthrax,China,,2002-01-01,2002-11-01,20.0,674.0,,
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),China,"Guangdong, Beijing, Shanxi, Guangxi, Hunan, Sichuan, Shanghai, Funjian, Inner Mongolia province",2002-11-01,2003-06-01,349.0,4978.0,,
Natural,Climatological,Drought,Drought,,,China,Shandong Sheng province,2002-06-01,2002-10-01,,3660000.0,1210000.0,1968658.0
Natural,Hydrological,Flood,,,,China,"Tuokexun Xian area (Turfan district, Xinjiang Uygur Zizhiqu province), Tuoli Xian area (Tacheng district, Xinjiang Uygur Zizhiqu province), Nileke Xian area (Ili Kazakh district, Xinjiang Uygur Zizhiqu province)",2002-05-01,2002-06-01,22.0,7001.0,50000.0,81350.0
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Hong Kong SAR,Hong Kong,2003-02-01,2003-05-01,299.0,1456.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Alor, Belu districts (Nusatenggara Timur province), Bandung, Bogor, Kota Depok districts (Jawa Barat province), Barru district (Sulawesi Timur province), Bondowoso, Kota Mojokerto, Kota Surabaya, Mojokerto, Sampang, Sidoarjo, Lumajang districts (Jawa Timur province), Tangerang district (Banten province)",2002-01-01,2002-02-01,150.0,500750.0,350000.0,569447.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Aceh Barat, Aceh Barat Daya, Aceh Selatan, Naganraya, Aceh Singkil districts (Nangroe Aceh Darussalam province), Dairi, Nias, Nias Selatan, Tapanuli Tengah districts (Sumatera Utara province)",2002-11-01,2002-12-01,13.0,87000.0,1600.0,2603.0
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Kandal, Stung Treng, Prey Veng, Takeo, Kampong Chhnang, Banteay Meanchey, Svay Rieng, Kampong Speu, Kratie, Pursat, Kampot provinces",2002-08-01,2002-11-01,29.0,1470000.0,100.0,163.0
Natural,Climatological,Drought,Drought,,,Cambodia,"Takeo, Kampot, Kampong Speu, Kampong Chhnang, Kandal, Prey Veng, Phnom Penh,Otdar Meanchey, Banteay Meanchey, Pursat, Battambang provinces",2002-01-01,2002-07-01,,650000.0,38000.0,61826.0
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Korea (ROK),,2003-04-01,2003-05-01,,3.0,,
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Nam Kor village (Lom Sak District, Phetchabun Province), Udon Thani, Chiang Mai, Chiang Rai, Lamphun, Nong Khai, Phrae, Nan provinces",2001-08-01,2001-09-01,104.0,450109.0,24500.0,40493.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",2001-02-01,2001-03-01,,200.0,,
Natural,Hydrological,Flood,Riverine flood,,,USA,"Minnesota, Iowa, Wisconsin, Illinois provinces",2001-04-01,2001-05-01,1.0,4400.0,13000.0,21486.0
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Singapore,Singapore,2003-02-01,2003-05-01,33.0,205.0,,
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Thailand,"Bangkok, Chonburi, Songkhla",2003-03-01,2003-05-01,2.0,7.0,,
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Chinese Taipei,,2003-02-01,2003-06-01,37.0,309.0,,
Natural,Meteorological,Storm,Convective storm,Tornado,,USA,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)",2002-04-01,2002-05-01,10.0,100.0,2200000.0,3579378.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Comal, Guadalupe, Bandera, Uvalde, McMullen, Taylor districts (Texas province)",2002-06-01,2002-07-01,10.0,144000.0,1000000.0,1626990.0
Natural,Biological,Epidemic,Viral disease,,West Nile Fever,USA,"Alabama, district of Columbia, Illinois, Indiana, Louisiana, Mississippi, Texas, Florida, Massachusetts, Missouri, New York City, Ohio, Georgia, Kentucky, Maryland, Michigan, Nebraska, South Dacota, Tennessee, Texas, Virginia, Wisconsin",2002-07-01,2002-11-01,214.0,3523.0,,
Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),USA,"Alabama, California, Connecticut, Georgia, Hawaii, Illinois, Kansas, Maine, Massachusetts, Michigan, Missouri, Mississippi, Minnesota, New Jersey, New Mexico, North Carolina, New York, Pennsylvannia, Rhode Island, Texas, Utah, Virginia, Wisconsin",2003-02-01,2003-07-01,,29.0,,
Natural,Climatological,Drought,Drought,,,USA,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",2002-07-01,2002-08-01,,,3300000.0,5369067.0
Natural,Meteorological,Storm,,,,USA,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces",2002-01-01,2002-02-01,28.0,,400000.0,650796.0
Natural,Meteorological,Storm,,,,USA,"Fulton, Tioga, Broome, Oswego, Delaware, Dutchess districts (New York province), Wayne district (Pennsylvania province), Connecticut, Massachusetts, Michigan, New Hampshire, New Jersey, Ohio, Wisconsin provinces",2002-05-01,2002-06-01,1.0,47.0,,
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Mount Isa, Longreach, Rockhampton, Townsville, Barcoo, Diamantina, Paroo districts (Queensland province), Tamworth Regional, Moree Plains districts (New South Wales province)",2004-01-01,2004-02-01,,3400.0,32000.0,49581.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Xishui, Dongshang areas (Zunyi district, Guizhou Sheng province), Changsha, Zhuzhou districts (Hunan Sheng province), Nanchang district (Jiangxi Sheng province), Zhejiang Sheng, Jiangsu Sheng, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Gansu Sheng, Sichuan Sheng, Hubei Sheng, Chongqing Shi provinces",2003-06-01,2003-07-01,430.0,150146000.0,7890000.0,12552010.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Ningshan Xian area (Ankang district, Shaanxi Sheng province), Hua Xian area (Weinan district, Shaanxi Sheng province), Gansu Sheng, Henan Sheng, Hubei Sheng, Shandong Sheng provinces",2003-08-01,2003-11-01,123.0,200000.0,2440000.0,3881737.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Muarojambi, Kota Jambi, Tanjungjabung Timur, Batanghari districts (Jambi province), Indragiri Hulu, Pelalawan districts (Riau province)",2003-11-01,2003-12-01,8.0,25000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Batanghari, Kota Jambi, Muarojambi, Sarolangun districts (Jambi province), Majene district (Sulawesi Barat province), Kota Manado district (Sulawesi Utara province), Indragiri Hulu district (Riau province), Musibanyuasin (Sumatera Selatan province)",2003-12-01,2004-01-01,148.0,350000.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,"Funan Xian, Mengcheng Xian, Yingshang Xian areas (Anhui Sheng province), Huoqiu Xian area (Lu'an district, Anhui Sheng province), Wangjiang Xian area (Anqing district, Anhui Sheng province), Xuyi Xian, Huaiyin Shi, Hongze Lake areas (Huai'an district, Jiangsu Sheng province), Xixia Xian area (Nanyang district, Henan Sheng province), Bengbu, Chuzhou districts (Anhui Sheng province), Shandong Sheng province",2003-07-01,2003-08-01,30.0,1200000.0,4830000.0,7683930.0
Natural,Hydrological,Landslide,Landslide,,,Indonesia,"Ende, Sikka, Kupang, Flores Timur districts (Nusatenggara Timur province)",2003-03-01,2003-04-01,76.0,229548.0,3961.0,6301.0
Natural,Hydrological,Flood,Riverine flood,,,Canada,"Colchester, Cumberland districts (Nova Scotia/Nouvelle Ecosse province)",2003-03-01,2003-04-01,2.0,170.0,10000.0,15909.0
Natural,Climatological,Wildfire,Forest fire,,,Canada,"British Columbia, Alberta, Saskatchewan, Manitoba provinces",2003-08-01,2003-09-01,1.0,,545000.0,867027.0
Natural,Climatological,Drought,Drought,,,Indonesia,"Belu, Timor Tengah Selatan, Timor Tengah Utara, Kupang districts (West Timor region, Nusatenggara Timur province)",2003-08-01,2003-09-01,,15000.0,1000.0,1591.0
Natural,Hydrological,Flood,Riverine flood,,,Canada,"Winnipeg (Division No. 11 district, Manitoba province) Selkirk, St Clements, Breezy Point (Division No.13 district, Manitoba province)",2004-03-01,2004-04-01,,1000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Chile,"Chiloe, Llanquihue districts (Los Lagos province)",2004-06-01,2004-07-01,3.0,9000.0,,
Natural,Biological,Epidemic,Viral disease,,Dengue,Indonesia,"Aceh, Jambi, Banten, West Java, Central Java, Yogyakarta, East Java, South Kalimatan, Bali, West Nusa Tenggara, East Nusa Tenggara (Java, Sumatra)",2004-01-01,2004-04-01,658.0,58301.0,,
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo provinces",2004-08-01,2004-10-01,,,,
Natural,Climatological,Wildfire,Forest fire,,,Mexico,"Baja California, Chihuahua, Sonora provinces",2003-10-01,2003-11-01,,,,
