Year,Country,Hotels count,Rooms count
2020,Japan,61259.0,1786058.0
2021,Japan,61484.0,1761513.0
1995,Korea (ROK),,58709.0
1996,Korea (ROK),,45108.0
1997,Korea (ROK),,46585.0
1998,Korea (ROK),,46998.0
1999,Korea (ROK),,47536.0
2000,Korea (ROK),,51189.0
2001,Korea (ROK),,53478.0
2002,Korea (ROK),511.0,54086.0
2003,Korea (ROK),534.0,56196.0
2004,Korea (ROK),557.0,59135.0
2005,Korea (ROK),554.0,58950.0
2006,Korea (ROK),580.0,60596.0
2007,Korea (ROK),628.0,65343.0
2008,Korea (ROK),655.0,69640.0
2009,Korea (ROK),674.0,73175.0
2010,Korea (ROK),688.0,74840.0
2011,Korea (ROK),920.0,70763.0
2012,Korea (ROK),966.0,121180.0
2013,Korea (ROK),1088.0,130619.0
2014,Korea (ROK),1293.0,146511.0
2015,Korea (ROK),1488.0,160422.0
2016,Korea (ROK),1738.0,173813.0
2017,Korea (ROK),1844.0,189557.0
2018,Korea (ROK),2111.0,200509.0
2019,Korea (ROK),2233.0,206079.0
2020,Korea (ROK),2301.0,211331.0
2021,Korea (ROK),,
1995,"Macao, China",104.0,8479.0
1996,"Macao, China",105.0,8545.0
1997,"Macao, China",86.0,9051.0
1998,"Macao, China",79.0,8970.0
1999,"Macao, China",74.0,9431.0
2000,"Macao, China",71.0,9201.0
2001,"Macao, China",70.0,9030.0
2002,"Macao, China",68.0,8954.0
2003,"Macao, China",69.0,9185.0
2004,"Macao, China",70.0,9168.0
2005,"Macao, China",75.0,10832.0
2006,"Macao, China",80.0,12978.0
2007,"Macao, China",82.0,16148.0
2008,"Macao, China",86.0,17533.0
2009,"Macao, China",91.0,19259.0
2010,"Macao, China",91.0,20091.0
2011,"Macao, China",95.0,22356.0
2012,"Macao, China",100.0,26069.0
2013,"Macao, China",100.0,27764.0
2014,"Macao, China",99.0,27904.0
2015,"Macao, China",107.0,32300.0
2016,"Macao, China",109.0,36278.0
2017,"Macao, China",113.0,36682.0
2018,"Macao, China",116.0,38809.0
2019,"Macao, China",122.0,38272.0
2020,"Macao, China",124.0,35132.0
2021,"Macao, China",,38737.0
1995,Maldives,189.0,6156.0
1996,Maldives,199.0,6736.0
1997,Maldives,198.0,7016.0
1998,Maldives,215.0,8015.0
1999,Maldives,223.0,8762.0
2000,Maldives,229.0,9365.0
2001,Maldives,208.0,9383.0
2002,Maldives,208.0,9414.0
2003,Maldives,232.0,9555.0
2004,Maldives,236.0,9798.0
2005,Maldives,245.0,10100.0
2006,Maldives,235.0,10254.0
2007,Maldives,260.0,11094.0
2008,Maldives,274.0,11732.0
2009,Maldives,279.0,12489.0
2010,Maldives,296.0,12851.0
2011,Maldives,315.0,13448.0
2012,Maldives,353.0,14060.0
2013,Maldives,429.0,15066.0
2014,Maldives,511.0,15837.0
2015,Maldives,616.0,17052.0
2016,Maldives,630.0,17664.0
2017,Maldives,736.0,20628.0
2018,Maldives,787.0,22577.0
2019,Maldives,938.0,25681.0
2020,Maldives,952.0,25914.0
2021,Maldives,,
1995,Cambodia,136.0,4508.0
1996,Cambodia,201.0,6397.0
1997,Cambodia,257.0,7466.0
1998,Cambodia,363.0,9757.0
1999,Cambodia,407.0,11012.0
2000,Cambodia,532.0,12906.0
2001,Cambodia,617.0,14703.0
2002,Cambodia,776.0,17535.0
2003,Cambodia,841.0,19698.0
2004,Cambodia,914.0,21955.0
2005,Cambodia,1001.0,24465.0
2006,Cambodia,1093.0,27080.0
2007,Cambodia,1286.0,32033.0
2008,Cambodia,1323.0,32858.0
2009,Cambodia,1469.0,37522.0
2010,Cambodia,1527.0,39714.0
2011,Cambodia,1618.0,43236.0
2012,Cambodia,1863.0,49913.0
2013,Cambodia,2007.0,51223.0
2014,Cambodia,2117.0,51985.0
2015,Cambodia,2897.0,63279.0
2016,Cambodia,2930.0,72623.0
2017,Cambodia,3136.0,74556.0
2018,Cambodia,3083.0,81536.0
2019,Cambodia,3755.0,84528.0
2020,Cambodia,,
2021,Cambodia,,
1995,Indonesia,8439.0,193346.0
1996,Indonesia,9182.0,196983.0
1997,Indonesia,9611.0,184507.0
1998,Indonesia,9853.0,245131.0
1999,Indonesia,9873.0,248498.0
2000,Indonesia,10125.0,252984.0
2001,Indonesia,10375.0,259450.0
2002,Indonesia,10393.0,259741.0
2003,Indonesia,10435.0,263014.0
2004,Indonesia,10861.0,272939.0
2005,Indonesia,11350.0,280433.0
2006,Indonesia,11461.0,285530.0
2007,Indonesia,13584.0,317824.0
2008,Indonesia,13751.0,325218.0
2009,Indonesia,13932.0,334817.0
2010,Indonesia,14587.0,353138.0
2011,Indonesia,15283.0,381457.0
2012,Indonesia,15998.0,405778.0
2013,Indonesia,16685.0,430793.0
2014,Indonesia,17484.0,469277.0
2015,Indonesia,18353.0,507201.0
2016,Indonesia,18829.0,527176.0
2017,Indonesia,26104.0,703689.0
2018,Indonesia,28230.0,650163.0
2019,Indonesia,29243.0,776025.0
2020,Indonesia,30823.0,870783.0
2021,Indonesia,27607.0,718898.0
1995,Singapore,163.0,29544.0
1996,Singapore,184.0,32348.0
1997,Singapore,187.0,33199.0
1998,Singapore,207.0,35126.0
1999,Singapore,206.0,34886.0
2000,Singapore,206.0,35625.0
2001,Singapore,205.0,35674.0
