Month,Average CNY/THB=,Min CNY/THB=,Max CNY/THB=,Nb of working days
8/2011,4.667575,4.617665,4.706503,23
7/2011,4.662155,4.611152,4.765809,21
6/2011,4.714979,4.671925,4.784984,22
5/2011,4.656875,4.604440,4.689296,22
4/2011,4.607320,4.589721,4.624482,19
3/2011,4.625193,4.605326,4.650612,23
2/2011,4.665687,4.648841,4.692618,20
1/2011,4.630690,4.547730,4.704585,21
12/2010,4.529881,4.508618,4.568384,23
11/2010,4.492213,4.440224,4.543650,22
10/2010,4.493210,4.471050,4.514552,21
9/2010,4.570039,4.538058,4.591566,22
8/2010,4.676772,4.595797,4.755587,22
7/2010,4.769405,4.750241,4.792589,22
6/2010,4.761358,4.740688,4.778841,22
5/2010,4.745691,4.726475,4.768478,21
4/2010,4.729674,4.712158,4.745316,20
3/2010,4.762417,4.728391,4.817061,23
2/2010,4.853246,4.838947,4.864448,20
1/2010,4.839035,4.811768,4.863597,20
12/2009,4.865449,4.850181,4.889212,22
11/2009,4.874522,4.853411,4.902733,21
10/2009,4.894020,4.877352,4.906698,22
9/2009,4.952370,4.900858,4.988964,22
8/2009,4.979562,4.973084,4.984564,21
7/2009,4.984075,4.969289,4.998796,23
6/2009,4.994886,4.980327,5.027689,22
5/2009,5.071747,5.025503,5.163432,20
4/2009,5.187735,5.162810,5.207174,20
3/2009,5.235390,5.122845,5.305583,22
2/2009,5.166469,5.105791,5.285955,20
1/2009,5.107180,5.095975,5.130132,21
12/2008,5.111165,5.027449,5.188240,21
11/2008,5.138210,5.111088,5.196119,20
10/2008,5.038251,4.962358,5.126072,23
9/2008,5.014471,4.948547,5.078565,22
8/2008,4.941467,4.893858,5.009532,21
7/2008,4.899509,4.869335,4.925519,23
6/2008,4.814083,4.700716,4.891215,21
5/2008,4.604592,4.535003,4.681999,21
4/2008,4.513246,4.490811,4.540607,22
3/2008,4.447482,4.407253,4.490142,19
2/2008,4.361348,4.175344,4.481478,21
1/2008,4.200482,4.044325,4.383614,22
12/2007,4.110962,4.073509,4.161523,19
11/2007,4.232904,4.153125,4.264047,22
10/2007,4.206205,4.175973,4.246694,23
9/2007,4.264090,4.215465,4.317269,20
8/2007,4.201621,3.939365,4.394328,23
7/2007,4.030121,3.901104,4.187974,22
6/2007,4.246600,4.144783,4.306438,21
5/2007,4.292426,4.226849,4.357669,22
4/2007,4.215446,4.193358,4.259531,19
3/2007,4.227848,4.117059,4.362745,22
2/2007,4.385415,4.293485,4.530470,20
