Month,Average CNY/TRY=,Min CNY/TRY=,Max CNY/TRY=,Nb of working days
4/2003,0.197067,0.190107,0.205288,20
3/2003,0.201945,0.193739,0.213206,21
2/2003,0.197813,0.193008,0.201532,20
1/2003,0.201177,0.199019,0.204373,22
12/2002,0.192208,0.184361,0.203293,20
11/2002,0.193991,0.185514,0.204037,21
10/2002,0.200366,0.197711,0.203124,23
9/2002,0.199767,0.196204,0.202440,21
8/2002,0.198198,0.196679,0.203927,22
7/2002,0.201140,0.191143,0.205246,23
6/2002,0.185802,0.174041,0.198138,20
5/2002,0.169584,0.164944,0.174802,22
4/2002,0.159707,0.156477,0.165288,21
3/2002,0.164665,0.161345,0.168721,20
2/2002,0.164478,0.158338,0.170425,20
1/2002,0.165427,0.159351,0.175398,22
12/2001,0.175792,0.170836,0.181141,19
11/2001,0.183737,0.176911,0.190211,22
10/2001,0.194783,0.187242,0.199611,23
9/2001,0.179244,0.168876,0.188820,20
8/2001,0.169901,0.161143,0.180304,23
7/2001,0.160531,0.152025,0.181322,22
6/2001,0.147114,0.137779,0.157348,21
5/2001,0.137785,0.133972,0.153406,22
4/2001,0.147579,0.133022,0.155936,19
3/2001,0.117711,0.106981,0.131953,22
2/2001,0.094495,0.081481,0.140443,20
1/2001,0.081212,0.080311,0.082305,22
12/2000,0.082013,0.081124,0.083188,19
11/2000,0.082734,0.081668,0.083653,22
10/2000,0.081699,0.076061,0.083590,22
9/2000,0.080291,0.078838,0.081737,21
8/2000,0.078286,0.076942,0.079181,23
7/2000,0.076064,0.075017,0.077507,21
6/2000,0.073813,0.070273,0.075525,22
5/2000,0.074604,0.073767,0.075343,22
4/2000,0.072006,0.070897,0.073750,18
3/2000,0.070136,0.069272,0.071111,23
2/2000,0.068114,0.067523,0.069303,21
1/2000,0.065894,0.064682,0.067584,21
12/1999,0.064059,0.062545,0.065556,23
11/1999,0.060339,0.058288,0.062519,22
10/1999,0.056822,0.055809,0.058162,21
9/1999,0.055119,0.053760,0.056126,22
8/1999,0.052946,0.051924,0.054096,22
7/1999,0.051794,0.051107,0.052421,22
6/1999,0.057206,0.057206,0.057206,1
