Month,Average CNY/NZD=,Min CNY/NZD=,Max CNY/NZD=,Nb of working days
12/1996,0.169402,0.167558,0.171192,22
11/1996,0.168246,0.166637,0.171002,21
10/1996,0.170655,0.168216,0.172556,23
9/1996,0.170858,0.167823,0.173856,21
8/1996,0.172207,0.171166,0.173513,22
7/1996,0.172069,0.168119,0.174848,23
6/1996,0.175022,0.173477,0.176031,20
5/1996,0.172126,0.169541,0.174670,23
4/1996,0.172497,0.169363,0.176247,22
3/1996,0.172126,0.171026,0.173177,21
2/1996,0.173023,0.170641,0.175429,21
1/1996,0.176997,0.172852,0.179798,23
12/1995,0.180518,0.178816,0.182557,21
11/1995,0.179948,0.178032,0.183664,22
10/1995,0.178867,0.175415,0.182174,22
9/1995,0.181235,0.175196,0.184872,21
8/1995,0.181532,0.174064,0.187440,23
7/1995,0.176872,0.175689,0.178834,21
6/1995,0.177872,0.175714,0.181801,22
5/1995,0.177926,0.172298,0.184011,23
4/1995,0.176032,0.173360,0.179515,20
3/1995,0.181043,0.175649,0.189625,23
2/1995,0.185593,0.180016,0.189254,20
1/1995,0.183921,0.180697,0.187460,22
12/1994,0.184058,0.182271,0.185156,22
11/1994,0.187722,0.182254,0.191896,22
10/1994,0.191222,0.187350,0.196293,21
9/1994,0.193078,0.191611,0.196619,22
8/1994,0.192406,0.188708,0.195201,23
7/1994,0.191553,0.186572,0.195160,21
6/1994,0.194275,0.188271,0.199355,22
5/1994,0.197002,0.194848,0.199657,22
4/1994,0.201021,0.196863,0.203623,21
3/1994,0.200539,0.197436,0.203765,23
2/1994,0.199425,0.197142,0.202041,20
1/1994,0.203714,0.201920,0.204961,21
12/1993,0.308950,0.306389,0.313427,23
11/1993,0.314458,0.312128,0.317215,22
10/1993,0.310598,0.302033,0.320693,21
9/1993,0.310985,0.303750,0.319931,22
8/1993,0.310551,0.304034,0.315626,22
7/1993,0.315177,0.310872,0.319066,22
6/1993,0.321880,0.311492,0.332782,22
5/1993,0.321075,0.315567,0.327047,21
4/1993,0.323758,0.319382,0.328517,22
3/1993,0.328421,0.322693,0.333428,23
2/1993,0.334857,0.331350,0.338468,20
1/1993,0.337603,0.328874,0.344067,21
12/1992,0.333171,0.321173,0.343958,23
11/1992,0.340849,0.337119,0.347574,21
10/1992,0.332508,0.315479,0.345713,22
9/1992,0.334692,0.325602,0.346111,22
8/1992,0.339872,0.329711,0.347344,21
7/1992,0.335440,0.327087,0.340888,23
6/1992,0.336203,0.325380,0.344565,22
5/1992,0.338678,0.332560,0.345595,21
4/1992,0.335357,0.332052,0.338153,22
3/1992,0.332989,0.327412,0.335983,22
2/1992,0.337159,0.327658,0.344758,20
1/1992,0.337488,0.324615,0.348991,23
12/1991,0.331978,0.320233,0.343524,22
11/1991,0.329367,0.319625,0.339933,21
10/1991,0.329036,0.323076,0.333468,23
9/1991,0.320451,0.315306,0.328646,21
8/1991,0.324578,0.319180,0.338586,22
7/1991,0.328310,0.321063,0.335843,23
6/1991,0.323386,0.317181,0.328579,20
5/1991,0.320296,0.315377,0.325919,23
4/1991,0.322323,0.313558,0.332596,22
3/1991,0.322376,0.306314,0.344680,21
2/1991,0.318894,0.313245,0.328645,20
1/1991,0.323101,0.317072,0.333408,23
12/1990,0.322248,0.316088,0.331673,21
11/1990,0.332236,0.309654,0.355420,22
10/1990,0.346293,0.342011,0.353082,23
9/1990,0.341566,0.337955,0.346721,20
8/1990,0.345335,0.337647,0.356524,23
7/1990,0.357598,0.347611,0.362314,22
6/1990,0.363142,0.358626,0.366295,21
5/1990,0.368497,0.362494,0.374501,23
4/1990,0.364040,0.360509,0.367532,21
3/1990,0.361427,0.356810,0.363938,22
2/1990,0.356835,0.351678,0.361445,20
1/1990,0.350467,0.345940,0.357037,23
12/1989,0.405321,0.353425,0.454616,21
11/1989,0.456153,0.453462,0.459369,22
10/1989,0.456412,0.452314,0.463661,22
9/1989,0.453010,0.448154,0.456552,21
8/1989,0.452593,0.447032,0.458505,23
7/1989,0.465951,0.457721,0.474077,21
6/1989,0.467191,0.456736,0.481142,22
5/1989,0.442048,0.427767,0.459290,23
4/1989,0.438143,0.435058,0.442238,20
3/1989,0.435435,0.432950,0.438117,23
2/1989,0.434895,0.427767,0.442603,20
1/1989,0.429202,0.420056,0.445546,22
