Month,Average CNY/USD=,Min CNY/USD=,Max CNY/USD=,Nb of working days
1/2013,0.160681,0.160361,0.160882,22
12/2012,0.160366,0.159770,0.160626,19
11/2012,0.160350,0.159669,0.160713,22
10/2012,0.159410,0.157766,0.160326,23
9/2012,0.158177,0.157501,0.159117,20
8/2012,0.157232,0.156887,0.157515,23
7/2012,0.156962,0.156521,0.157538,22
6/2012,0.157215,0.156858,0.158051,21
5/2012,0.158260,0.157022,0.159363,22
4/2012,0.158725,0.158347,0.159251,19
3/2012,0.158424,0.157908,0.158836,22
2/2012,0.158725,0.158413,0.158948,21
1/2012,0.158410,0.157857,0.158822,22
12/2011,0.157717,0.157085,0.158589,21
11/2011,0.157342,0.156639,0.157930,22
10/2011,0.156988,0.156581,0.157514,21
9/2011,0.156487,0.156170,0.156752,22
8/2011,0.156147,0.155270,0.156838,23
7/2011,0.154842,0.154590,0.155350,21
6/2011,0.154447,0.154251,0.154717,22
5/2011,0.153958,0.153640,0.154347,22
4/2011,0.153186,0.152724,0.154060,19
3/2011,0.152322,0.152092,0.152742,23
2/2011,0.151922,0.151587,0.152273,20
1/2011,0.151543,0.150655,0.151945,21
12/2010,0.150447,0.149823,0.151496,23
11/2010,0.150297,0.149220,0.150928,22
10/2010,0.149979,0.149450,0.150575,21
9/2010,0.148299,0.146811,0.149548,22
8/2010,0.147324,0.146882,0.147774,22
7/2010,0.147565,0.147461,0.147687,22
6/2010,0.146656,0.146347,0.147461,22
5/2010,0.146459,0.146381,0.146516,21
4/2010,0.146502,0.146466,0.146544,20
3/2010,0.146492,0.146475,0.146509,23
2/2010,0.146430,0.146314,0.146498,20
1/2010,0.146476,0.146463,0.146490,20
12/2009,0.146462,0.146413,0.146514,22
11/2009,0.146470,0.146411,0.146513,21
10/2009,0.146476,0.146422,0.146554,22
9/2009,0.146449,0.146391,0.146503,22
8/2009,0.146360,0.146274,0.146410,21
7/2009,0.146372,0.146317,0.146400,23
6/2009,0.146331,0.146254,0.146488,22
5/2009,0.146532,0.146400,0.146630,20
