Month,Average CNY/MVR=,Min CNY/MVR=,Max CNY/MVR=,Nb of working days
5/2007,1.667945,1.661490,1.674300,22
4/2007,1.657141,1.654818,1.661489,19
3/2007,1.654143,1.651192,1.656612,22
2/2007,1.651591,1.648175,1.653636,20
1/2007,1.643506,1.637455,1.647248,22
12/2006,1.636327,1.633486,1.639956,19
11/2006,1.627861,1.624134,1.634473,22
10/2006,1.619857,1.617196,1.625646,22
9/2006,1.613834,1.609209,1.620975,21
8/2006,1.605473,1.599701,1.609519,23
7/2006,1.601927,1.599519,1.606022,21
6/2006,1.598654,1.595735,1.600881,22
5/2006,1.596935,1.594334,1.600359,22
4/2006,1.596890,1.595054,1.599207,18
3/2006,1.593025,1.589997,1.596603,23
2/2006,1.589856,1.587925,1.591740,20
1/2006,1.586811,1.586026,1.587933,22
12/2005,1.585000,1.583998,1.586085,21
11/2005,1.583416,1.582650,1.584232,22
10/2005,1.582339,1.581734,1.583368,21
9/2005,1.581834,1.581104,1.582773,22
8/2005,1.579919,1.578498,1.581151,23
7/2005,1.557970,1.547763,1.579155,21
6/2005,1.547763,1.547763,1.547763,22
5/2005,1.547763,1.547763,1.547763,22
4/2005,1.547763,1.547763,1.547763,21
3/2005,1.547763,1.547763,1.547763,21
2/2005,1.435714,1.422092,1.547761,20
1/2005,1.423216,1.423216,1.423216,21
12/2004,1.423216,1.423216,1.423216,23
11/2004,1.423216,1.423216,1.423216,22
10/2004,1.423216,1.423216,1.423216,21
9/2004,1.423216,1.423216,1.423216,22
8/2004,1.423216,1.423216,1.423216,22
7/2004,1.423216,1.423216,1.423216,22
6/2004,1.423216,1.423216,1.423216,22
5/2004,1.423216,1.423216,1.423216,21
4/2004,1.423216,1.423216,1.423216,20
3/2004,1.423216,1.423216,1.423216,23
2/2004,1.423216,1.423216,1.423216,20
1/2004,1.423216,1.423216,1.423216,21
12/2003,1.423216,1.423216,1.423216,21
11/2003,1.423216,1.423216,1.423216,20
10/2003,1.423216,1.423216,1.423216,23
9/2003,1.423216,1.423216,1.423216,22
8/2003,1.423216,1.423216,1.423216,21
7/2003,1.423216,1.423216,1.423216,23
6/2003,1.423216,1.423216,1.423216,21
5/2003,1.423216,1.423216,1.423216,21
4/2003,1.423216,1.423216,1.423216,20
3/2003,1.423216,1.423216,1.423216,21
2/2003,1.423216,1.423216,1.423216,20
1/2003,1.423216,1.423216,1.423216,22
12/2002,1.423216,1.423216,1.423216,20
11/2002,1.423216,1.423216,1.423216,21
10/2002,1.423216,1.423216,1.423216,23
9/2002,1.423216,1.423216,1.423216,21
8/2002,1.423216,1.423216,1.423216,22
7/2002,1.423216,1.423216,1.423216,23
6/2002,1.423216,1.423216,1.423216,20
5/2002,1.423216,1.423216,1.423216,22
4/2002,1.423216,1.423216,1.423216,21
3/2002,1.423216,1.423216,1.423216,20
2/2002,1.423216,1.423216,1.423216,20
1/2002,1.423216,1.423216,1.423216,22
12/2001,1.423216,1.423216,1.423216,19
11/2001,1.423216,1.423216,1.423216,22
10/2001,1.423216,1.423216,1.423216,23
9/2001,1.423216,1.423216,1.423216,20
8/2001,1.423216,1.423216,1.423216,23
7/2001,1.423216,1.423216,1.423216,22
6/2001,1.423216,1.423216,1.423216,21
5/2001,1.423216,1.423216,1.423216,22
4/2001,1.423216,1.423216,1.423216,19
3/2001,1.423216,1.423216,1.423216,22
2/2001,1.423216,1.423216,1.423216,20
1/2001,1.423216,1.423216,1.423216,22
12/2000,1.423216,1.423216,1.423216,19
11/2000,1.423216,1.423216,1.423216,22
10/2000,1.423216,1.423216,1.423216,22
9/2000,1.423216,1.423216,1.423216,21
8/2000,1.423216,1.423216,1.423216,23
7/2000,1.423216,1.423216,1.423216,21
6/2000,1.423216,1.423216,1.423216,22
5/2000,1.573305,1.423216,1.611001,22
4/2000,1.510344,1.478097,1.573763,18
3/2000,1.482678,1.470194,1.498232,23
2/2000,1.454019,1.420107,1.483311,21
1/2000,1.410794,1.376360,1.460283,21
12/1999,1.642960,1.621777,1.658051,23
11/1999,1.606481,1.570694,1.647849,22
10/1999,1.551132,1.527774,1.588575,21
9/1999,1.581518,1.554520,1.605625,22
8/1999,1.566184,1.538817,1.591621,22
7/1999,1.604549,1.552195,1.640199,22
6/1999,1.600172,1.585390,1.615309,22
5/1999,1.562525,1.537677,1.588120,21
4/1999,1.551367,1.528055,1.569358,22
3/1999,1.525896,1.507935,1.553066,23
2/1999,1.481798,1.464061,1.513846,20
1/1999,1.430298,1.408429,1.458659,21
12/1998,1.341092,1.326443,1.350831,23
11/1998,1.349737,1.327597,1.369155,21
10/1998,1.316541,1.296535,1.334304,22
9/1998,1.361938,1.333330,1.400326,22
8/1998,1.426687,1.410418,1.439249,21
7/1998,1.432022,1.409242,1.454581,23
6/1998,1.426751,1.413411,1.445351,22
5/1998,1.417720,1.406354,1.428014,21
4/1998,1.441005,1.424610,1.468610,22
3/1998,1.449332,1.436446,1.460285,22
2/1998,1.443866,1.428300,1.456577,20
1/1998,1.443896,1.417977,1.461508,22
12/1997,1.603944,1.595716,1.616531,23
11/1997,1.565260,1.542920,1.591713,20
10/1997,1.591925,1.553769,1.612949,23
9/1997,1.621489,1.595816,1.650204,22
8/1997,1.662657,1.625534,1.699653,21
7/1997,1.614465,1.576377,1.661117,23
6/1997,1.568938,1.560759,1.581339,21
5/1997,1.552867,1.536327,1.573817,22
4/1997,1.557598,1.523634,1.575624,22
3/1997,1.549533,1.535018,1.567205,21
2/1997,1.529843,1.504620,1.553755,20
1/1997,1.464942,1.417222,1.511866,23
12/1996,1.485592,1.471372,1.495120,22
11/1996,1.454308,1.442495,1.470590,21
10/1996,1.475666,1.455390,1.487401,23
9/1996,1.462628,1.444274,1.478300,21
8/1996,1.445815,1.437436,1.454413,22
7/1996,1.460052,1.433203,1.479426,23
6/1996,1.479941,1.469186,1.488183,20
5/1996,1.486660,1.471527,1.500574,23
4/1996,1.463825,1.445466,1.485587,22
3/1996,1.445866,1.440436,1.452731,21
2/1996,1.441332,1.422871,1.459746,21
1/1996,1.435225,1.408010,1.466991,23
12/1995,1.331699,1.321266,1.341907,21
11/1995,1.312319,1.301990,1.330600,22
10/1995,1.313817,1.295482,1.326340,22
9/1995,1.347979,1.314816,1.368624,21
8/1995,1.333823,1.287784,1.371986,23
7/1995,1.293899,1.282007,1.306274,21
6/1995,1.307250,1.292518,1.331878,22
5/1995,1.315123,1.279859,1.352631,23
4/1995,1.279627,1.264675,1.298209,20
3/1995,1.301314,1.279615,1.339484,23
2/1995,1.360980,1.335421,1.382284,20
1/1995,1.378831,1.357568,1.400054,22
12/1994,1.250632,1.240914,1.259693,22
11/1994,1.217231,1.181756,1.242994,22
10/1994,1.199022,1.177280,1.226352,21
9/1994,1.223247,1.215079,1.243114,22
8/1994,1.227857,1.207894,1.244387,23
7/1994,1.221521,1.191666,1.242053,21
6/1994,1.258114,1.225519,1.287288,22
5/1994,1.278654,1.266929,1.295139,22
4/1994,1.298775,1.272898,1.313551,21
3/1994,1.297574,1.281559,1.314683,23
2/1994,1.325444,1.311916,1.341817,20
1/1994,1.330241,1.322762,1.337928,21
12/1993,2.019203,1.999502,2.045274,23
11/1993,2.023353,2.011931,2.034635,22
10/1993,1.965740,1.919514,2.018359,21
9/1993,1.941469,1.902983,1.990413,22
8/1993,2.022035,1.988352,2.063933,22
7/1993,2.017838,1.984227,2.061544,22
6/1993,1.945556,1.888063,2.003680,22
5/1993,1.900401,1.867177,1.934045,21
4/1993,1.897753,1.868055,1.924656,22
3/1993,1.959254,1.926467,1.987093,23
2/1993,1.936922,1.914573,1.960680,20
1/1993,1.894495,1.844046,1.930465,21
12/1992,1.967801,1.900532,2.036102,23
11/1992,2.031746,2.013965,2.065743,21
10/1992,1.927978,1.848948,1.996362,22
9/1992,1.860116,1.779992,1.951022,22
8/1992,1.858655,1.812481,1.889389,21
7/1992,1.895235,1.854619,1.919908,23
6/1992,1.982659,1.919125,2.025530,22
5/1992,2.028945,1.992273,2.073588,21
4/1992,2.071425,2.054049,2.092820,22
3/1992,2.099216,2.066658,2.117082,22
2/1992,2.049332,1.994327,2.093764,20
1/1992,2.004471,1.929638,2.063832,23
12/1991,1.977206,1.912851,2.044289,22
11/1991,2.061407,2.009694,2.121822,21
10/1991,2.139801,2.103901,2.171012,23
9/1991,2.149241,2.117103,2.201901,21
8/1991,2.212052,2.177859,2.300322,22
7/1991,2.266576,2.218595,2.317220,23
6/1991,2.262340,2.216198,2.299324,20
5/1991,2.188758,2.159005,2.223975,23
4/1991,2.191522,2.133097,2.263194,22
3/1991,2.090272,1.989182,2.224583,21
2/1991,1.928907,1.896007,1.984938,20
1/1991,1.967625,1.932106,2.018096,23
12/1990,1.599971,1.568851,1.641311,21
11/1990,1.671194,1.563498,1.780604,22
10/1990,1.784275,1.766081,1.824579,23
9/1990,1.835730,1.814952,1.865701,20
8/1990,1.833287,1.798634,1.886154,23
7/1990,1.912777,1.860449,1.935491,22
6/1990,1.973474,1.945607,1.992354,21
5/1990,1.958954,1.934529,1.986643,23
4/1990,1.989782,1.973672,2.008891,21
3/1990,2.014802,1.995023,2.031602,22
2/1990,1.981064,1.956654,1.999339,20
1/1990,2.007219,1.982431,2.036421,23
12/1989,2.176894,1.847707,2.476212,21
11/1989,2.524551,2.473455,2.560433,22
10/1989,2.565098,2.528806,2.626358,22
9/1989,2.659823,2.558305,2.713171,21
8/1989,2.623090,2.521956,2.671906,23
7/1989,2.584508,2.540493,2.644398,21
6/1989,2.702577,2.663531,2.782263,22
5/1989,2.640167,2.552295,2.733710,23
4/1989,2.541527,2.514201,2.569734,20
3/1989,2.534002,2.501140,2.569936,23
2/1989,2.512286,2.472884,2.554026,20
1/1989,2.483129,2.397120,2.530611,22
