Month,Average CNY/MXN=,Min CNY/MXN=,Max CNY/MXN=,Nb of working days
7/2004,1.382086,1.376371,1.389412,22
6/2004,1.377311,1.364705,1.398699,22
5/2004,1.391675,1.375742,1.414166,21
4/2004,1.362572,1.346791,1.380573,20
3/2004,1.329968,1.317717,1.352005,23
2/2004,1.334686,1.318295,1.360389,20
1/2004,1.321049,1.303691,1.353904,21
12/2003,1.360817,1.349953,1.378012,21
11/2003,1.347515,1.323716,1.383499,20
10/2003,1.349173,1.324291,1.367202,23
9/2003,1.320774,1.298861,1.335769,22
8/2003,1.304215,1.280799,1.339752,21
7/2003,1.263699,1.250554,1.278874,23
6/2003,1.270507,1.238115,1.298752,21
5/2003,1.285388,1.234541,1.321639,21
4/2003,1.324447,1.314920,1.353317,20
3/2003,1.325517,1.292491,1.354853,21
2/2003,1.328624,1.314800,1.337642,20
1/2003,1.282671,1.245856,1.334620,22
12/2002,1.236667,1.225418,1.266611,20
11/2002,1.235743,1.218183,1.254488,21
10/2002,1.219493,1.180955,1.250860,23
9/2002,1.220359,1.192278,1.245178,21
8/2002,1.191581,1.170985,1.208696,22
7/2002,1.184690,1.151375,1.212647,23
6/2002,1.184101,1.165341,1.212735,20
5/2002,1.153484,1.131936,1.180543,22
4/2002,1.114299,1.089354,1.149026,21
3/2002,1.100064,1.089200,1.108078,20
2/2002,1.103785,1.092966,1.119620,20
1/2002,1.109920,1.098976,1.123818,22
12/2001,1.112946,1.090940,1.126551,19
11/2001,1.115324,1.101922,1.124093,22
10/2001,1.132263,1.111263,1.168764,23
9/2001,1.142903,1.104151,1.178299,20
8/2001,1.107336,1.095277,1.121535,23
7/2001,1.121443,1.094478,1.223151,22
6/2001,1.099903,1.087502,1.116749,21
5/2001,1.113276,1.084164,1.194513,22
4/2001,1.130830,1.106805,1.154848,19
3/2001,1.158870,1.132917,1.177875,22
2/2001,1.175684,1.167197,1.189032,20
1/2001,1.184410,1.161233,1.204796,22
12/2000,1.146763,1.123822,1.181614,19
11/2000,1.147828,1.121466,1.172238,22
10/2000,1.156445,1.142151,1.174529,22
9/2000,1.130289,1.110588,1.149326,21
8/2000,1.124773,1.115299,1.140815,23
7/2000,1.144293,1.120062,1.192389,21
6/2000,1.189899,1.147199,1.223035,22
5/2000,1.149297,1.128104,1.167916,22
4/2000,1.135068,1.118867,1.152716,18
3/2000,1.123484,1.110206,1.132901,23
2/2000,1.139390,1.131044,1.161542,21
1/2000,1.148037,1.136871,1.163050,21
12/1999,1.139259,1.126141,1.156222,23
11/1999,1.138240,1.124058,1.163778,22
10/1999,1.156002,1.132860,1.176820,21
9/1999,1.129593,1.123294,1.134225,22
8/1999,1.135271,1.117132,1.150831,22
7/1999,1.134373,1.124674,1.158185,22
6/1999,1.150654,1.131802,1.186215,22
5/1999,1.138605,1.119710,1.186401,21
4/1999,1.140486,1.117291,1.159613,22
3/1999,1.176962,1.149940,1.205562,23
2/1999,1.209706,1.194680,1.224909,20
1/1999,1.224405,1.182588,1.281741,21
12/1998,1.197887,1.180169,1.212817,23
11/1998,1.205749,1.194680,1.215236,21
10/1998,1.229502,1.209190,1.255139,22
9/1998,1.234776,1.201935,1.285369,22
8/1998,1.133356,1.083434,1.215236,21
7/1998,1.076126,1.064087,1.085852,23
6/1998,1.078872,1.060459,1.096735,22
5/1998,1.038766,1.024184,1.074970,21
4/1998,1.028086,1.022975,1.039903,22
3/1998,1.036221,1.027811,1.048368,22
2/1998,1.027703,1.016929,1.043531,20
1/1998,0.994023,0.972189,1.025393,22
12/1997,0.983124,0.975816,0.992745,23
11/1997,0.999858,0.989117,1.013301,20
10/1997,0.951415,0.933495,1.016929,23
9/1997,0.941493,0.934704,0.949847,22
8/1997,0.941038,0.938331,0.946796,21
7/1997,0.951835,0.939541,0.961306,23
6/1997,0.961479,0.956469,0.966143,21
5/1997,0.955704,0.951632,0.961306,22
4/1997,0.956084,0.950423,0.963724,22
3/1997,0.962054,0.954051,0.973398,21
2/1997,0.943689,0.935913,0.963724,20
1/1997,0.947521,0.943168,0.957441,23
12/1996,0.945604,0.941402,0.950894,22
