Month,Average CNY/SGD=,Min CNY/SGD=,Max CNY/SGD=,Nb of working days
9/1997,0.182973,0.181172,0.184614,22
8/1997,0.180529,0.176416,0.184559,21
7/1997,0.174851,0.172003,0.178484,23
6/1997,0.171623,0.169996,0.172904,21
5/1997,0.172955,0.171496,0.174633,22
4/1997,0.173498,0.172520,0.174700,22
3/1997,0.173086,0.170875,0.175159,21
2/1997,0.170591,0.169180,0.172644,20
1/1997,0.169096,0.167628,0.170369,23
12/1996,0.166981,0.165630,0.168242,22
11/1996,0.167389,0.166631,0.168667,21
10/1996,0.168890,0.167728,0.169880,23
9/1996,0.167588,0.166504,0.168388,21
8/1996,0.167449,0.166786,0.168322,22
7/1996,0.167900,0.167070,0.169113,23
6/1996,0.166877,0.166045,0.167786,20
5/1996,0.166128,0.164385,0.167442,23
4/1996,0.165692,0.164816,0.166468,22
3/1996,0.165190,0.164141,0.166557,21
2/1996,0.164749,0.163522,0.165790,21
1/1996,0.166351,0.164367,0.168373,23
12/1995,0.165992,0.164824,0.167138,21
11/1995,0.165980,0.164747,0.167423,22
10/1995,0.167636,0.165691,0.170531,22
9/1995,0.170455,0.167681,0.172868,21
8/1995,0.168303,0.165116,0.171653,23
7/1995,0.166696,0.165499,0.167700,21
6/1995,0.166090,0.164875,0.167321,22
5/1995,0.165702,0.162841,0.170035,23
4/1995,0.164102,0.162699,0.166773,20
3/1995,0.166384,0.163609,0.171192,23
2/1995,0.171136,0.170583,0.172018,20
1/1995,0.171248,0.169600,0.173627,22
12/1994,0.171888,0.170591,0.172890,22
11/1994,0.171021,0.169980,0.172261,22
10/1994,0.171823,0.169648,0.173259,21
9/1994,0.173540,0.171531,0.176578,22
8/1994,0.174147,0.171963,0.175017,23
7/1994,0.174416,0.172226,0.175744,21
6/1994,0.176140,0.174512,0.178637,22
5/1994,0.177926,0.176006,0.179507,22
4/1994,0.178712,0.177053,0.180074,21
3/1994,0.181267,0.179040,0.182443,23
2/1994,0.182026,0.181250,0.183037,20
1/1994,0.183778,0.182302,0.185110,21
12/1993,0.274402,0.273247,0.276071,23
11/1993,0.274421,0.273024,0.276402,22
10/1993,0.270182,0.267555,0.273751,21
9/1993,0.273890,0.269264,0.278201,22
8/1993,0.276127,0.273739,0.279271,22
7/1993,0.279731,0.274247,0.282104,22
6/1993,0.280274,0.276808,0.283312,22
5/1993,0.281321,0.279201,0.282982,21
4/1993,0.283079,0.280015,0.287963,22
3/1993,0.286113,0.283005,0.288224,23
2/1993,0.284444,0.281345,0.287909,20
1/1993,0.286070,0.282108,0.289411,21
12/1992,0.281438,0.275079,0.286950,23
11/1992,0.289452,0.284460,0.294063,21
10/1992,0.287980,0.282035,0.291354,22
9/1992,0.288242,0.281672,0.295907,22
8/1992,0.295920,0.293936,0.298943,21
7/1992,0.295395,0.290010,0.298501,23
6/1992,0.296054,0.292380,0.298388,22
5/1992,0.297375,0.294033,0.302290,21
4/1992,0.300790,0.297352,0.305103,22
3/1992,0.302608,0.298661,0.307456,22
2/1992,0.298771,0.295685,0.301945,20
1/1992,0.298463,0.294045,0.304089,23
12/1991,0.302757,0.295903,0.307229,22
11/1991,0.310193,0.305558,0.315931,21
10/1991,0.314303,0.312102,0.319597,23
9/1991,0.316158,0.312348,0.319249,21
8/1991,0.321685,0.316313,0.330982,22
7/1991,0.327400,0.323546,0.331578,23
6/1991,0.331749,0.328587,0.336274,20
5/1991,0.331255,0.326555,0.335925,23
4/1991,0.335961,0.329677,0.347938,22
3/1991,0.335291,0.326613,0.345284,21
2/1991,0.329274,0.326914,0.334689,20
1/1991,0.335669,0.330322,0.341636,23
12/1990,0.331116,0.327095,0.338018,21
11/1990,0.346844,0.324906,0.366637,22
10/1990,0.366251,0.361140,0.374010,23
9/1990,0.374491,0.371505,0.379829,20
8/1990,0.379629,0.372211,0.386961,23
7/1990,0.384729,0.381430,0.388182,22
6/1990,0.390895,0.388788,0.394599,21
5/1990,0.392913,0.389343,0.398315,23
4/1990,0.396917,0.394041,0.398753,21
3/1990,0.396652,0.395541,0.398723,22
2/1990,0.393832,0.392274,0.394812,20
1/1990,0.398865,0.393221,0.403255,23
12/1989,0.462514,0.399459,0.522592,21
11/1989,0.524980,0.521386,0.526210,22
10/1989,0.525942,0.523262,0.529024,22
9/1989,0.529726,0.525272,0.532642,21
8/1989,0.525371,0.521654,0.531436,23
7/1989,0.525010,0.522860,0.526076,21
6/1989,0.524526,0.520716,0.527952,22
5/1989,0.524550,0.522860,0.527952,23
4/1989,0.522518,0.519778,0.525674,20
3/1989,0.520110,0.515088,0.525808,23
2/1989,0.516736,0.515088,0.518572,20
1/1989,0.520095,0.518036,0.521788,22
