Month,Average CNY/HKD=,Min CNY/HKD=,Max CNY/HKD=,Nb of working days
4/1993,1.348520,1.333217,1.365226,22
3/1993,1.345390,1.329574,1.357526,23
2/1993,1.336019,1.317870,1.356699,20
1/1993,1.339437,1.326625,1.353659,21
12/1992,1.328801,1.299244,1.359878,23
11/1992,1.370201,1.346851,1.389728,21
10/1992,1.384385,1.364541,1.413164,22
9/1992,1.393678,1.358458,1.431391,22
8/1992,1.423195,1.412564,1.442163,21
7/1992,1.415301,1.388959,1.430455,23
6/1992,1.409960,1.393763,1.418163,22
5/1992,1.403358,1.383471,1.418733,21
4/1992,1.405091,1.389321,1.427009,22
3/1992,1.411996,1.404590,1.423871,22
2/1992,1.416683,1.397523,1.434675,20
1/1992,1.418150,1.400345,1.440271,23
12/1991,1.431023,1.420186,1.446040,22
11/1991,1.440069,1.428142,1.452832,21
10/1991,1.438640,1.427909,1.463219,23
9/1991,1.440873,1.430974,1.456316,21
8/1991,1.446373,1.425199,1.473941,22
7/1991,1.446962,1.429049,1.470420,23
6/1991,1.442904,1.432522,1.453690,20
5/1991,1.456812,1.431619,1.489306,23
4/1991,1.480300,1.455062,1.515835,22
3/1991,1.485107,1.458809,1.503431,21
2/1991,1.494146,1.482722,1.506292,20
1/1991,1.499320,1.484138,1.510991,23
12/1990,1.495058,1.486800,1.509308,21
11/1990,1.580911,1.479296,1.669614,22
10/1990,1.648467,1.636893,1.662330,23
9/1990,1.645595,1.636051,1.656157,20
8/1990,1.647544,1.637099,1.664070,23
7/1990,1.642809,1.623937,1.651325,22
6/1990,1.647607,1.637389,1.661305,21
5/1990,1.646474,1.638778,1.654622,23
4/1990,1.647544,1.637844,1.654692,21
3/1990,1.650412,1.649738,1.651295,22
2/1990,1.649881,1.649288,1.650266,20
1/1990,1.648156,1.605047,1.650845,23
12/1989,1.876779,1.587637,2.138193,21
11/1989,2.089133,2.032620,2.127002,22
10/1989,2.088345,2.051834,2.141548,22
9/1989,2.174002,2.001669,2.262180,21
8/1989,2.214497,2.127449,2.257453,23
7/1989,2.213457,2.177685,2.261391,21
6/1989,2.211494,2.179678,2.275421,22
5/1989,2.199792,2.127402,2.278741,23
4/1989,2.208777,2.182845,2.232866,20
3/1989,2.213151,2.181032,2.244937,23
2/1989,2.211971,2.167694,2.252424,20
1/1989,2.212141,2.128219,2.258566,22
