Month,Average CNY/JPY=,Min CNY/JPY=,Max CNY/JPY=,Nb of working days
9/1991,24.984369,24.638581,25.354503,21
8/1991,25.467946,25.361056,25.700953,22
7/1991,25.683427,25.466223,25.841689,23
6/1991,26.059615,25.706712,26.397090,20
5/1991,25.924361,25.740829,26.143245,23
4/1991,26.029352,25.536148,26.827966,22
3/1991,26.179442,25.555529,26.827966,21
2/1991,24.896721,24.363856,25.481262,20
1/1991,25.552643,25.051605,26.140289,23
12/1990,25.568408,25.108799,26.088747,21
11/1990,26.067172,24.258966,27.693793,22
10/1990,27.422972,26.394768,28.971858,23
9/1990,29.283993,28.612754,30.397671,20
8/1990,31.162465,30.218264,31.929320,23
7/1990,31.516964,30.957670,32.030584,22
6/1990,32.486108,32.151002,32.879924,21
5/1990,32.492989,31.591254,33.619065,23
4/1990,33.459207,33.154573,33.771224,21
3/1990,32.361914,31.464419,33.481816,22
2/1990,30.769422,30.497058,31.449753,20
1/1990,30.618776,30.150714,30.877443,23
12/1989,34.614737,29.928209,38.730228,21
11/1989,38.479126,38.228674,38.734821,22
10/1989,38.094362,37.409840,38.681116,22
9/1989,38.897496,37.309746,39.529399,21
8/1989,37.854352,36.561386,38.759072,23
7/1989,37.674601,36.824772,38.229708,21
6/1989,38.593725,37.490445,40.471154,22
5/1989,36.901598,35.561763,38.398732,23
4/1989,35.394164,35.088049,35.606252,20
3/1989,34.920539,34.253142,35.626144,23
2/1989,34.215966,33.694589,34.808752,20
1/1989,34.042108,33.172380,34.795689,22
