Month,Average CNY/IDR=,Min CNY/IDR=,Max CNY/IDR=,Nb of working days
6/2010,1341.817596,1324.402246,1363.373305,22
5/2010,1342.590881,1322.206554,1368.709504,21
4/2010,1322.518394,1318.989153,1332.422202,20
3/2010,1342.462661,1328.963328,1362.394983,23
2/2010,1368.033081,1358.308988,1384.210977,20
1/2010,1361.373120,1340.192519,1380.441775,20
12/2009,1386.216124,1379.121990,1393.054123,22
11/2009,1386.123488,1373.033608,1412.558325,21
10/2009,1389.774058,1367.930681,1414.715467,22
9/2009,1443.161089,1413.596711,1487.647343,22
8/2009,1463.912785,1446.230890,1488.214898,21
7/2009,1479.801646,1452.842166,1500.650395,23
6/2009,1494.577804,1453.350332,1537.814669,22
5/2009,1517.757772,1494.408008,1543.280055,20
4/2009,1614.826021,1553.574386,1709.476986,20
3/2009,1736.633155,1668.496149,1774.606940,22
2/2009,1742.950744,1705.940165,1798.382132,20
1/2009,1635.983050,1587.654454,1667.150486,21
12/2008,1658.710611,1599.088019,1815.018755,21
11/2008,1723.581598,1594.490974,1837.916050,20
10/2008,1460.729881,1376.939558,1597.997189,23
9/2008,1366.973754,1342.008277,1380.564503,22
8/2008,1335.295027,1324.169045,1341.633531,21
7/2008,1339.656652,1331.276781,1344.787573,23
6/2008,1346.432532,1339.269842,1350.326846,21
5/2008,1331.037921,1318.103393,1347.920020,21
4/2008,1315.104977,1307.986364,1319.976463,22
3/2008,1296.517744,1274.085561,1314.172845,19
2/2008,1281.455180,1267.574737,1291.060592,21
1/2008,1298.641313,1286.099417,1309.536335,22
12/2007,1268.257060,1250.420075,1286.980917,19
11/2007,1248.939017,1221.976928,1273.578365,22
10/2007,1212.811160,1203.443543,1224.871506,23
9/2007,1236.822307,1214.950423,1254.782166,20
8/2007,1237.465028,1225.293334,1249.171319,23
7/2007,1197.432466,1185.183823,1218.238836,22
6/2007,1177.245941,1146.884725,1198.750745,21
5/2007,1150.301504,1133.817218,1177.645418,22
4/2007,1177.294921,1175.204432,1179.616396,19
3/2007,1185.208559,1176.438668,1194.196838,22
2/2007,1170.017603,1165.753210,1179.700763,20
1/2007,1165.244091,1149.251954,1173.390806,22
12/2006,1161.335403,1152.261341,1170.239931,19
11/2006,1162.223723,1156.257219,1171.625660,22
10/2006,1160.991437,1153.760998,1168.180038,22
9/2006,1153.519845,1142.312225,1168.241224,21
8/2006,1140.578223,1135.116068,1146.442153,23
7/2006,1142.882702,1131.691096,1162.190647,21
6/2006,1170.099694,1155.038232,1185.695554,22
5/2006,1127.013512,1089.599484,1169.134078,22
4/2006,1114.013040,1097.567443,1125.486528,18
3/2006,1139.920904,1122.718679,1157.501199,23
2/2006,1149.525937,1140.676121,1162.157129,20
1/2006,1175.230827,1159.240167,1218.064083,22
12/2005,1219.434387,1198.533336,1241.679927,21
11/2005,1242.152321,1229.329891,1250.193106,22
10/2005,1246.882737,1232.985322,1272.859924,21
9/2005,1264.595572,1235.911075,1281.215487,22
8/2005,1233.479112,1202.070790,1319.766998,23
7/2005,1193.388609,1180.471836,1212.257025,21
6/2005,1164.413038,1153.401524,1180.472084,22
5/2005,1146.116839,1139.276498,1152.186126,22
4/2005,1155.735411,1145.423549,1178.491976,21
3/2005,1133.780355,1122.319479,1151.090722,21
2/2005,1118.572248,1110.699391,1125.193198,20
1/2005,1112.424990,1101.236937,1140.335554,21
12/2004,1116.299184,1089.299807,1132.724011,23
11/2004,1090.877548,1080.859864,1102.707394,22
10/2004,1100.245762,1096.850832,1105.881759,21
9/2004,1110.662641,1090.060833,1127.944946,22
8/2004,1118.886480,1104.723825,1133.298558,22
7/2004,1112.239028,1083.530634,1139.700963,22
6/2004,1131.836293,1110.574998,1138.902157,22
5/2004,1088.938179,1050.285332,1120.463469,21
4/2004,1051.322411,1036.158393,1068.831997,20
3/2004,1032.747064,1013.810307,1045.911350,23
2/2004,1015.271778,984.205804,1022.544804,20
1/2004,1016.533715,1005.664699,1039.857618,21
12/2003,1018.699300,992.293708,1028.175547,21
11/2003,1028.749791,1020.432915,1052.742043,20
10/2003,1018.541859,1004.060417,1034.586401,23
9/2003,1019.336969,1005.807672,1026.928702,22
8/2003,1028.184372,1008.925471,1075.551289,21
7/2003,1006.398758,988.410333,1030.054585,23
6/2003,1005.306293,985.883523,1040.234492,21
5/2003,1015.312071,987.774700,1044.176070,21
4/2003,1076.562631,1043.271149,1122.258897,20
3/2003,1091.497292,1048.202958,1123.532985,21
2/2003,1074.636894,1067.642780,1080.806319,20
1/2003,1075.395444,1069.556676,1094.798529,22
12/2002,1077.054679,1062.313223,1092.770255,20
11/2002,1093.130464,1072.501829,1122.508539,21
10/2002,1104.173956,1075.080587,1132.030846,23
9/2002,1080.665701,1058.208141,1099.981103,21
8/2002,1074.893682,1059.212028,1110.056098,22
7/2002,1086.366434,1055.116637,1120.190850,23
6/2002,1055.793607,1034.906532,1091.469644,20
5/2002,1097.246636,1049.802726,1129.502884,22
4/2002,1144.528634,1124.296367,1187.601689,21
3/2002,1197.347375,1153.901746,1216.303708,20
2/2002,1232.508604,1212.345507,1251.843021,20
1/2002,1252.848439,1240.769458,1262.126000,22
12/2001,1241.963540,1211.416657,1266.506148,19
11/2001,1275.848623,1248.592044,1327.250816,22
10/2001,1223.507967,1195.847241,1264.391058,23
9/2001,1132.871587,1080.151627,1187.642665,20
8/2001,1090.263994,1033.178641,1174.036927,23
7/2001,1325.554565,1151.458106,1483.894819,22
6/2001,1369.253611,1345.790642,1382.364066,21
5/2001,1374.820549,1321.528844,1507.747759,22
4/2001,1352.283883,1266.349289,1463.893817,19
3/2001,1238.345653,1197.438129,1285.375845,22
2/2001,1172.539438,1153.697194,1199.911425,20
1/2001,1151.493844,1130.880034,1166.001589,22
12/2000,1147.820329,1114.700898,1190.708276,19
11/2000,1130.427059,1097.786476,1154.809120,22
10/2000,1085.150070,1062.955078,1143.206607,22
9/2000,1043.780152,1002.540642,1075.929784,21
8/2000,1026.937214,988.438800,1083.507977,23
7/2000,1108.221350,1065.916195,1157.196232,21
6/2000,1041.818342,1009.174230,1057.493366,22
5/2000,1127.121459,1048.637819,1152.717634,22
4/2000,1080.694630,1057.621111,1126.072537,18
3/2000,1060.898648,1051.965964,1072.028608,23
2/2000,1040.392303,1016.127235,1061.351696,21
1/2000,1009.463787,984.825664,1044.874783,21
12/1999,1096.491056,1082.353784,1106.562196,23
11/1999,1072.144888,1048.261482,1099.753934,22
10/1999,1035.205972,1019.617296,1060.195197,21
9/1999,1055.485208,1037.466803,1071.574201,22
8/1999,1045.251225,1026.987340,1062.227585,22
7/1999,1070.855639,1035.915161,1094.648399,22
6/1999,1067.934932,1058.069543,1078.037003,22
