Month,Average CNY/CLP=,Min CNY/CLP=,Max CNY/CLP=,Nb of working days
11/1999,69.442633,67.895710,71.230866,22
10/1999,67.050106,66.040431,68.668654,21
9/1999,68.363589,67.196540,69.405670,22
8/1999,67.700736,66.517787,68.800291,22
7/1999,69.359129,67.096040,70.900182,22
6/1999,69.169955,68.530976,69.824265,22
5/1999,67.542569,66.468510,68.648952,21
4/1999,67.060274,66.052585,67.837959,22
3/1999,65.959263,65.182841,67.133693,23
2/1999,64.053036,63.286320,65.438366,20
1/1999,61.826878,60.881547,63.052832,21
12/1998,52.445855,51.872992,52.826733,23
11/1998,52.783943,51.918128,53.543326,21
10/1998,51.485763,50.703378,52.180410,22
9/1998,53.261072,52.142336,54.762323,22
8/1998,55.793226,55.156983,56.284460,21
7/1998,56.001861,55.110984,56.884084,23
6/1998,55.795719,55.274056,56.523098,22
5/1998,55.442545,54.998044,55.845129,21
4/1998,56.353156,55.711987,57.432682,22
3/1998,56.678806,56.174879,57.107143,22
2/1998,56.465036,55.856295,56.962115,20
1/1998,56.466215,55.452602,57.154941,22
12/1997,57.138967,56.845842,57.587365,23
11/1997,55.760903,54.965047,56.703264,20
10/1997,56.710808,55.351528,57.459752,23
9/1997,57.763993,56.849403,58.786924,22
8/1997,59.230551,57.908100,60.548515,21
7/1997,57.513760,56.156908,59.175720,23
6/1997,55.891912,55.600534,56.333690,21
5/1997,55.319407,54.730174,56.065716,22
4/1997,55.487926,54.277990,56.130114,22
3/1997,55.200637,54.683534,55.830193,21
2/1997,54.499211,53.600660,55.351046,20
1/1997,52.187165,50.487171,53.858775,23
12/1996,52.035687,51.537619,52.369438,22
11/1996,50.939892,50.526146,51.510210,21
10/1996,51.687995,50.977796,52.099041,23
9/1996,51.231335,50.588448,51.780259,21
8/1996,50.642437,50.348938,50.943590,22
7/1996,51.141093,50.200658,51.819726,23
6/1996,51.837746,51.461027,52.126435,20
5/1996,52.073109,51.543036,52.560463,23
4/1996,51.273261,50.630187,52.035529,22
3/1996,50.644203,50.454013,50.884655,21
2/1996,50.485388,49.838778,51.130386,21
1/1996,50.271485,49.318224,51.384166,23
12/1995,44.892335,44.540634,45.236429,21
11/1995,44.239023,43.890814,44.855262,22
10/1995,44.289507,43.671434,44.711667,22
9/1995,45.441147,44.323187,46.137083,21
8/1995,44.963936,43.411931,46.250419,23
7/1995,43.618066,43.217185,44.035224,21
6/1995,44.068148,43.571509,44.898374,22
5/1995,44.333551,43.144777,45.597952,23
4/1995,43.136961,42.632896,43.763344,20
3/1995,43.868014,43.136554,45.154759,23
2/1995,45.879399,45.017787,46.597584,20
1/1995,46.481165,45.764370,47.196606,22
12/1994,45.356258,45.003814,45.684886,22
11/1994,44.144927,42.858355,45.079263,22
10/1994,43.484555,42.696042,44.475725,21
9/1994,44.363108,44.066871,45.083625,22
8/1994,44.530311,43.806288,45.129792,23
7/1994,44.300499,43.217759,45.045125,21
6/1994,45.627610,44.445486,46.685650,22
5/1994,46.372519,45.947313,46.970387,22
