"month","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"NOV",155.6,75.01,196.28,131.98,108.73
"DEC",493.2,488.08,339.45,840.32,125.12,128.32
"DEC",142.87,92.54,103.11,166.43,207.09
"DEC",86.9,119.53,90.06,45.49,195.11
"DEC",221.53,97.41,146.54,217.97,132.41
"DEC",173.75,122.13,71.61,136.29,143.43
"DEC",75.12,92.35,102.77,138.78,86.35
"DEC",144.59,118.84,142.22,105.27,107.01
"DEC",2.48,73.31,167.46,71.41,84.8
"DEC",59.7,138.63,151.56,124.03,163.44
"DEC",129.88,97.54,153.5,93.49,144.01
